Use case Name,Description,Log Source,MITRE Tactics,MITRE Technique,SPL
O365 Email Reported By User Found Malicious,The following analytic detects when an email submitted to Microsoft using the built-in report button in Outlook is found to be malicious. This capability is an enhanced protection feature that can be used within o365 tenants by users to report potentially malicious emails. This correlation looks for any submission that returns a Phish or Malware verdict upon submission.,Office 365 (Microsoft 365),Initial Access,"T1566.001, T1566.002","`o365_management_activity` Workload=SecurityComplianceCenter Operation=AlertEntityGenerated Name=""Email reported by user as*"" 
| fromjson Data 
| rename _raw AS temp etps AS _raw 
| extract pairdelim="";"" kvdelim="":"" 
| rename _raw AS etps temp AS _raw 
| search RescanVerdict IN (Phish,Malware) 
| rex field=tsd ""\<(?<src_user>.+)\>"" 
| eval src_user = case(isnull(src_user),tsd,true(),src_user) 
| rename Name as signature, AlertId as signature_id, AlertEntityId as user, tsd as sender, ms as subject 
| fillnull 
| stats count min(_time) as firstTime max(_time) as lastTime by dest user src vendor_account vendor_product signature signature_id src_user sender subject 
| `security_content_ctime(firstTime)` 
| `security_content_ctime(lastTime)` 
| `o365_email_reported_by_user_found_malicious_filter`"
O365 Email Suspicious Search Behavior,"The following analytic identifies when Office 365 users search for suspicious keywords or have an excessive number of queries to a mailbox within a limited timeframe. This behavior may indicate that a malicious actor has gained control of a mailbox and is conducting discovery or enumeration activities.
Search 1`o365_management_activity` Operation=SearchQueryInitiatedExchange 2 3| eval command = case(Operation==&#34;SearchQueryPerformed&#34;,SearchQueryText,true(),QueryText), UserId = lower(UserId), signature_id = CorrelationId, signature=Operation, src = ClientIP, user = lower(UserId), object_name=case(Operation==&#34;SearchQueryPerformed&#34;,&#39;EventData&#39;,true(),QuerySource), -time = _time, suspect_terms = case(match(command, `o365_suspect_search_terms_regex`),command,true(),null()) 4 5| where command !",Office 365 (Microsoft 365),"Collection, Discovery, Credential Access, Privilege Escalation","T1114, T1552, T1114.002","`o365_management_activity` Operation=SearchQueryInitiatedExchange
| eval command = case(Operation==""SearchQueryPerformed"",SearchQueryText,true(),QueryText), UserId = lower(UserId), signature_id = CorrelationId, signature=Operation, src = ClientIP, user = lower(UserId), object_name=case(Operation==""SearchQueryPerformed"",'EventData',true(),QuerySource), -time = _time, suspect_terms = case(match(command, `o365_suspect_search_terms_regex`),command,true(),null())
| where command != ""*"" AND command != ""(*)""
| bin _time span=1hr
| stats values(ScenarioName) as app, values(object_name) as object_name values(command) as command, values(suspect_terms) as suspect_terms, values(src) as src, dc(suspect_terms) as suspect_terms_count, dc(command) as count, min(-time) as firstTime, max(-time) as lastTime by user,signature,_time
| where count > 20 OR suspect_terms_count >= 2
| `security_content_ctime(firstTime)`
| `security_content_ctime(lastTime)`
| `o365_email_suspicious_search_behavior_filter`"
O365 Service Principal Privilege Escalation,"This detection identifies when an Azure Service Principal elevates privileges by adding themself to a new app role assignment.
Search 1`o365_management_activity` Operation=&#34;Add app role assignment to service principal.&#34; &#34;Actor{}.ID&#34;=ServicePrincipal ResultStatus=Success 2| spath path=ModifiedProperties{} output=targetResources 3| eval src=&#34;NA&#34; 4| stats min(_time) as _time values(eval(mvfilter(match(targetResources, &#34;AppRole.Value&#34;)))) as appRole, values(eval(mvfilter(match(targetResources, &#34;ServicePrincipal.DisplayName&#34;)))) as targetServicePrincipal values(object) as targetAppContext values(user_agent) as user_agent values(user) as servicePrincipal values(UserId) as servicePrincipalId by Operation InterSystemsId tenant_id user dest src vendor_account vendor_product signature 5| spath input=appRole path=NewValue output=appRole 6| spath input=targetServicePrincipal path=NewValue output=targetServicePrincipal 7| where servicePrincipal=targetServicePrincipal 8| fillnull 9| stats earliest(_time) as firstTime latest(_time) as lastTime by servicePrincipal servicePrincipalId appRole targetAppContext user_agent tenant_id InterSystemsId user dest src vendor_account vendor_product signature 10| `security_content_ctime(firstTime)` 11| `security_content_ctime(lastTime)` 12| `o365_service_principal_privilege_escalation_filter` Data Source Name Platform Sourcetype Source O365 Add app role assignment grant to user.",Office 365 (Microsoft 365),"Persistence, Privilege Escalation",T1098.003,"`o365_management_activity` Operation=""Add app role assignment to service principal."" ""Actor{}.ID""=ServicePrincipal ResultStatus=Success  
| spath path=ModifiedProperties{} output=targetResources  
| eval src=""NA""  
| stats min(_time) as _time values(eval(mvfilter(match(targetResources, ""AppRole.Value"")))) as appRole, values(eval(mvfilter(match(targetResources, ""ServicePrincipal.DisplayName"")))) as targetServicePrincipal values(object) as targetAppContext values(user_agent) as user_agent values(user) as servicePrincipal values(UserId) as servicePrincipalId by Operation InterSystemsId tenant_id user dest src vendor_account vendor_product signature  
| spath input=appRole path=NewValue output=appRole  
| spath input=targetServicePrincipal path=NewValue output=targetServicePrincipal  
| where servicePrincipal=targetServicePrincipal  
| fillnull  
| stats earliest(_time) as firstTime latest(_time) as lastTime by servicePrincipal servicePrincipalId appRole targetAppContext user_agent tenant_id InterSystemsId user dest src vendor_account vendor_product signature 
| `security_content_ctime(firstTime)`  
| `security_content_ctime(lastTime)`  
| `o365_service_principal_privilege_escalation_filter`"
O365 SharePoint Malware Detection,The following analytic identifies when a malicious file is detected within the SharePoint Online ecosystem. Attackers may stage and execute malicious files from within the Microsoft Office 365 ecosystem. Any detections from built-in Office 365 capabilities should be monitored and responded to appropriately. Certain premium Office 365 capabilities further enhance these detection and response functions.,Office 365 (Microsoft 365),"Execution, Persistence, Privilege Escalation",T1204.002,"`o365_management_activity` Operation=FileMalwareDetected 
| rename UserId as user, Id as signature_id 
| stats values(Workload) as category, values(SourceFileName) as file_name values(ObjectId) as file_path, values(VirusInfo) as signature, count, min(_time) as firstTime, max(_time) as lastTime by signature_id, user, dest, src, vendor_account, vendor_product 
| `security_content_ctime(firstTime)` 
| `security_content_ctime(lastTime)` 
| `o365_sharepoint_malware_detection_filter`"
O365 SharePoint Suspicious Search Behavior,"The following analytic identifies when Office 365 users search for suspicious keywords or have an excessive number of queries to a SharePoint site within a limited timeframe. This behavior may indicate that a malicious actor has gained control of a user account and is conducting discovery or enumeration activities.
Search 1`o365_management_activity` (Workload=SharePoint Operation=&#34;SearchQueryPerformed&#34; SearchQueryText=* EventData=*search*) OR Operation=SearchQueryInitiatedSharepoint 2 3| eval command = case(Operation==&#34;SearchQueryPerformed&#34;,SearchQueryText,true(),QueryText), UserId = lower(UserId), signature_id = CorrelationId, signature=Operation, src = ClientIP, user = lower(UserId), object_name=case(Operation==&#34;SearchQueryPerformed&#34;,&#39;EventData&#39;,true(),QuerySource), -time = _time, suspect_terms = case(match(command, `o365_suspect_search_terms_regex`),command,true(),null()) 4 5| where command !",Office 365 (Microsoft 365),"Collection, Credential Access, Discovery","T1552, T1213.002, T1213","`o365_management_activity` (Workload=SharePoint Operation=""SearchQueryPerformed"" SearchQueryText=* EventData=*search*) OR Operation=SearchQueryInitiatedSharepoint
| eval command = case(Operation==""SearchQueryPerformed"",SearchQueryText,true(),QueryText), UserId = lower(UserId), signature_id = CorrelationId, signature=Operation, src = ClientIP, user = lower(UserId), object_name=case(Operation==""SearchQueryPerformed"",'EventData',true(),QuerySource), -time = _time, suspect_terms = case(match(command, `o365_suspect_search_terms_regex`),command,true(),null())
| where command != ""*"" AND command != ""(*)""
| bin _time span=1hr
| stats values(ScenarioName) as app, values(object_name) as object_name values(command) as command, values(suspect_terms) as suspect_terms, values(src) as src, dc(suspect_terms) as suspect_terms_count, dc(command) as count, min(-time) as firstTime, max(-time) as lastTime by user,signature,_time
| where count > 20 OR suspect_terms_count >= 2
| `security_content_ctime(firstTime)`
| `security_content_ctime(lastTime)`
| `o365_sharepoint_suspicious_search_behavior_filter`"
O365 Threat Intelligence Suspicious Email Delivered,"The following analytic identifies when a suspicious email is detected within the Microsoft Office 365 ecosystem through the Advanced Threat Protection engine and delivered to an end user. Attackers may execute several attacks through email, any detections from built-in Office 365 capabilities should be monitored and responded to appropriately. Certain premium Office 365 capabilities such as Safe Attachment and Safe Links further enhance these detection and response functions.",Office 365 (Microsoft 365),Initial Access,"T1566.001, T1566.002","`o365_management_activity` Workload=ThreatIntelligence Operation=TIMailData DeliveryAction!=Blocked Directionality=InBound 
| rename P2Sender as src_user, P1Sender as sender, Recipients{} as user, DeliveryAction as action 
| stats values(SenderIp) as src, values(Subject) as subject, values(user) as user, values(action) as action, values(SystemOverrides{}.Details) as reason, values(LatestDeliveryLocation) as result, values(ThreatsAndDetectionTech{}) as category, values(AttachmentData{}.FileName) as file_name, values(AttachmentData{}.FileType) as file_type, values(AttachmentData{}.SHA256) as file_hash values(DetectionMethod) as signature, min(_time) as firstTime max(_time) as lastTime, count by src_user,sender,dest,vendor_account,vendor_product 
| `security_content_ctime(firstTime)` 
| `security_content_ctime(lastTime)` 
| `o365_threat_intelligence_suspicious_email_delivered_filter`"
O365 Threat Intelligence Suspicious File Detected,The following analytic identifies when a malicious file is detected within the Microsoft Office 365 ecosystem through the Advanced Threat Protection engine. Attackers may stage and execute malicious files from within the Microsoft Office 365 ecosystem. Any detections from built-in Office 365 capabilities should be monitored and responded to appropriately. Certain premium Office 365 capabilities such as Safe Attachment and Safe Links further enhance these detection and response functions.,Office 365 (Microsoft 365),Execution,T1204.002,"`o365_management_activity` Workload=ThreatIntelligence Operation=AtpDetection 
| eval dest=""NA"" 
| eval src=""NA"" 
| stats values(DetectionMethod) as category values(FileData.FileName) as file_name values(FileData.FilePath) as file_path values(FileData.FileSize) as file_size values(FileData.MalwareFamily) as signature count, min(_time) as firstTime, max(_time) as lastTime by Id, UserId, dest, src, vendor_account, vendor_product 
| rename Id as signature_id, UserId as user 
| `security_content_ctime(firstTime)` 
| `security_content_ctime(lastTime)` 
| `o365_threat_intelligence_suspicious_file_detected_filter`"
O365 ZAP Activity Detection,"The following analytic detects when the Microsoft Zero-hour Automatic Purge (ZAP) capability takes action against a user's mailbox. This capability is an enhanced protection feature that retro-actively removes email with known malicious content for user inboxes. Since this is a retroactive capability, there is still a window in which the user may fall victim to the malicious content.",Office 365 (Microsoft 365),Initial Access,"T1566.001, T1566.002","`o365_management_activity` Workload=SecurityComplianceCenter Operation=AlertEntityGenerated Name=""*messages containing malicious*"" 
| fromjson Data 
| fillnull 
| stats count min(_time) as firstTime max(_time) as lastTime values(zu) as url values(zfn) as file_name values(ms) as subject values(ttr) as result values(tsd) as src_user by AlertId,trc,signature,Name,dest,src,vendor_account,vendor_product 
| rename Name as signature, AlertId as signature_id, trc as user 
| eval action = CASE(match(result,""Success""), ""blocked"", true(),""allowed""), url = split(url,"";"") 
| `security_content_ctime(firstTime)` 
| `security_content_ctime(lastTime)` 
| `o365_zap_activity_detection_filter`"
7zip CommandLine To SMB Share Path,"The following analytic detects the execution of 7z or 7za processes with command lines pointing to SMB network shares. It leverages data from Endpoint Detection and Response (EDR) agents, focusing on process names and command-line arguments. This activity is significant as it may indicate an attempt to archive and exfiltrate sensitive files to a network share, a technique observed in CONTI LEAK tools.",Windows Events,"Collection, Execution, Exfiltration",T1560.001,"| tstats `security_content_summariesonly` count min(_time) as firstTime max(_time) as lastTime from datamodel=Endpoint.Processes where (Processes.process_name =""7z.exe"" OR Processes.process_name = ""7za.exe"" OR Processes.process_name = ""7zr.exe"" OR Processes.original_file_name = ""7z.exe"" OR Processes.original_file_name =  ""7za.exe"" OR Processes.original_file_name =  ""7zr.exe"") AND (Processes.process=""*\\C$\\*"" OR Processes.process=""*\\Admin$\\*"" OR Processes.process=""*\\IPC$\\*"") by Processes.action Processes.dest Processes.original_file_name Processes.parent_process Processes.parent_process_exec Processes.parent_process_guid Processes.parent_process_id Processes.parent_process_name Processes.parent_process_path Processes.process Processes.process_exec Processes.process_guid Processes.process_hash Processes.process_id Processes.process_integrity_level Processes.process_name Processes.process_path Processes.user Processes.user_id Processes.vendor_product 
| `drop_dm_object_name(Processes)` 
| `security_content_ctime(firstTime)` 
| `security_content_ctime(lastTime)` 
| `7zip_commandline_to_smb_share_path_filter`"
Add DefaultUser And Password In Registry,"The following analytic detects suspicious registry modifications that implement auto admin logon by adding DefaultUserName and DefaultPassword values. It leverages data from the Endpoint.Registry data model, specifically monitoring changes to the &quot;SOFTWARE\Microsoft\Windows NT\CurrentVersion\Winlogon&quot; registry path. This activity is significant because it is associated with BlackMatter ransomware, which uses this technique to automatically log on to compromised hosts and continue encryption after a safe mode boot.",Windows Events,"Persistence, Credential Access",T1552.002,"| tstats `security_content_summariesonly` count min(_time) as firstTime max(_time) as lastTime FROM datamodel=Endpoint.Registry WHERE (Registry.registry_path= ""*SOFTWARE\\Microsoft\\Windows NT\\CurrentVersion\\Winlogon*"" AND Registry.registry_value_name= DefaultPassword OR Registry.registry_value_name= DefaultUserName) by Registry.action Registry.dest Registry.process_guid Registry.process_id Registry.registry_hive Registry.registry_path Registry.registry_key_name Registry.registry_value_data Registry.registry_value_name Registry.registry_value_type Registry.status Registry.user Registry.vendor_product 
| `drop_dm_object_name(Registry)` 
| `security_content_ctime(firstTime)` 
| `security_content_ctime(lastTime)` 
| `add_defaultuser_and_password_in_registry_filter`"
Allow Operation with Consent Admin,"The following analytic detects a registry modification that allows the 'Consent Admin' to perform operations requiring elevation without user consent or credentials. It leverages data from the Endpoint.Registry data model, specifically monitoring changes to the 'ConsentPromptBehaviorAdmin' value within the Windows Policies System registry path. This activity is significant as it indicates a potential privilege escalation attempt, which could allow an attacker to execute high-privilege tasks without user approval.",Windows Events,"Privilege Escalation, Defense Evasion",T1548,"| tstats `security_content_summariesonly` count min(_time) as firstTime max(_time) as lastTime FROM datamodel=Endpoint.Registry WHERE (Registry.registry_path= ""*\\Microsoft\\Windows\\CurrentVersion\\Policies\\System*"" Registry.registry_value_name = ConsentPromptBehaviorAdmin Registry.registry_value_data = ""0x00000000"") by Registry.action Registry.dest Registry.process_guid Registry.process_id Registry.registry_hive Registry.registry_path Registry.registry_key_name Registry.registry_value_data Registry.registry_value_name  Registry.registry_value_type Registry.status Registry.user Registry.vendor_product 
| `drop_dm_object_name(Registry)` 
| `security_content_ctime(firstTime)` 
| `security_content_ctime(lastTime)` 
| `allow_operation_with_consent_admin_filter`"
Auto Admin Logon Registry Entry,"The following analytic detects a suspicious registry modification that enables auto admin logon on a host. It leverages data from the Endpoint.Registry data model, specifically looking for changes to the &quot;AutoAdminLogon&quot; value within the &quot;SOFTWARE\Microsoft\Windows NT\CurrentVersion\Winlogon&quot; registry path. This activity is significant because it was observed in BlackMatter ransomware attacks to maintain access after a safe mode reboot, facilitating further encryption.",Windows Events,Credential Access,T1552.002,"| tstats `security_content_summariesonly` count min(_time) as firstTime max(_time) as lastTime FROM datamodel=Endpoint.Registry WHERE (Registry.registry_path= ""*SOFTWARE\\Microsoft\\Windows NT\\CurrentVersion\\Winlogon*"" AND Registry.registry_value_name=AutoAdminLogon AND Registry.registry_value_data=1) by Registry.action Registry.dest Registry.process_guid Registry.process_id Registry.registry_hive Registry.registry_path Registry.registry_key_name Registry.registry_value_data Registry.registry_value_name Registry.registry_value_type Registry.status Registry.user Registry.vendor_product 
| `drop_dm_object_name(Registry)` 
| where isnotnull(registry_value_data) 
| `security_content_ctime(firstTime)` 
| `security_content_ctime(lastTime)` 
| `auto_admin_logon_registry_entry_filter`"
Bcdedit Command Back To Normal Mode Boot,"The following analytic detects the execution of a suspicious bcdedit command that reconfigures a host from safe mode back to normal boot. This detection leverages Endpoint Detection and Response (EDR) data, focusing on command-line executions involving bcdedit.exe with specific parameters. This activity is significant as it may indicate the presence of ransomware, such as BlackMatter, which manipulates boot configurations to facilitate encryption processes.",Windows Events,"Execution, Impact, Privilege Escalation",T1490,"| tstats `security_content_summariesonly` count min(_time) as firstTime max(_time) as lastTime from datamodel=Endpoint.Processes where Processes.process_name = bcdedit.exe Processes.process=""*/deletevalue*"" Processes.process=""*{current}*""  Processes.process=""*safeboot*"" by Processes.action Processes.dest Processes.original_file_name Processes.parent_process Processes.parent_process_exec Processes.parent_process_guid Processes.parent_process_id Processes.parent_process_name Processes.parent_process_path Processes.process Processes.process_exec Processes.process_guid Processes.process_hash Processes.process_id Processes.process_integrity_level Processes.process_name Processes.process_path Processes.user Processes.user_id Processes.vendor_product 
|`drop_dm_object_name(Processes)` 
| `security_content_ctime(firstTime)` 
| `security_content_ctime(lastTime)` 
| `bcdedit_command_back_to_normal_mode_boot_filter`"
Change To Safe Mode With Network Config,"The following analytic detects the execution of a suspicious bcdedit command that configures a host to boot in safe mode with network support. It leverages data from Endpoint Detection and Response (EDR) agents, focusing on command-line executions involving bcdedit.exe with specific parameters. This activity is significant because it is a known technique used by BlackMatter ransomware to force a compromised host into safe mode for continued encryption.",Windows Events,"Execution, Impact",T1490,"| tstats `security_content_summariesonly` count min(_time) as firstTime max(_time) as lastTime from datamodel=Endpoint.Processes where Processes.process_name = bcdedit.exe Processes.process=""*/set*"" Processes.process=""*{current}*""  Processes.process=""*safeboot*"" Processes.process=""*network*"" by Processes.action Processes.dest Processes.original_file_name Processes.parent_process Processes.parent_process_exec Processes.parent_process_guid Processes.parent_process_id Processes.parent_process_name Processes.parent_process_path Processes.process Processes.process_exec Processes.process_guid Processes.process_hash Processes.process_id Processes.process_integrity_level Processes.process_name Processes.process_path Processes.user Processes.user_id Processes.vendor_product 
|`drop_dm_object_name(Processes)` 
| `security_content_ctime(firstTime)` 
| `security_content_ctime(lastTime)` 
| `change_to_safe_mode_with_network_config_filter`"
Clop Ransomware Known Service Name,"The following analytic identifies the creation of a service with a known name used by CLOP ransomware for persistence and high-privilege code execution. It detects this activity by monitoring Windows Event Logs (EventCode 7045) for specific service names (&quot;SecurityCenterIBM&quot;, &quot;WinCheckDRVs&quot;). This activity is significant because the creation of such services is a common tactic used by ransomware to maintain control over infected systems.",Windows Events,"Execution, Persistence",T1543,"`wineventlog_system` EventCode=7045 ServiceName IN (""SecurityCenterIBM"", ""WinCheckDRVs"") 
| stats count min(_time) as firstTime max(_time) as lastTime by Computer EventCode ServiceName StartType ServiceType 
| rename Computer as dest 
| `security_content_ctime(firstTime)` 
| `security_content_ctime(lastTime)` 
| `clop_ransomware_known_service_name_filter`"
CMD Echo Pipe - Escalation,"The following analytic identifies the use of named-pipe impersonation for privilege escalation, commonly associated with Cobalt Strike and similar frameworks. It detects command-line executions where cmd.exe uses echo to write to a named pipe, such as cmd.exe /c echo 4sgryt3436 &gt; \\.\Pipe\5erg53. This detection leverages data from Endpoint Detection and Response (EDR) agents, focusing on process and command-line telemetry.",Windows Events,"Execution, Persistence, Privilege Escalation","T1543.003, T1059.003","| tstats `security_content_summariesonly` count min(_time) as firstTime max(_time) as lastTime from datamodel=Endpoint.Processes where `process_cmd` OR Processes.process=*%comspec%* (Processes.process=*echo* AND Processes.process=*pipe*) by Processes.action Processes.dest Processes.original_file_name Processes.parent_process Processes.parent_process_exec Processes.parent_process_guid Processes.parent_process_id Processes.parent_process_name Processes.parent_process_path Processes.process Processes.process_exec Processes.process_guid Processes.process_hash Processes.process_id Processes.process_integrity_level Processes.process_name Processes.process_path Processes.user Processes.user_id Processes.vendor_product 
| `drop_dm_object_name(Processes)` 
| `security_content_ctime(firstTime)` 
| `security_content_ctime(lastTime)` 
| `cmd_echo_pipe___escalation_filter`"
Create Remote Thread In Shell Application,"The following analytic detects suspicious process injection in command shell applications, specifically targeting cmd.exe and powershell.exe. It leverages Sysmon EventCode 8 to identify the creation of remote threads within these shell processes. This activity is significant because it is a common technique used by malware, such as IcedID, to inject malicious code and execute it within legitimate processes.",Windows Events,"Execution, Persistence, Defense Evasion",T1055,"`sysmon` EventCode=8 TargetImage IN (""*\\cmd.exe"", ""*\\powershell*"", ""*\\pwsh.exe"") 
| stats count min(_time) as firstTime max(_time) as lastTime by EventID Guid NewThreadId ProcessID SecurityID SourceImage SourceProcessGuid SourceProcessId StartAddress StartFunction StartModule TargetImage TargetProcessGuid TargetProcessId UserID dest parent_process_exec parent_process_guid parent_process_id parent_process_name parent_process_path process_exec process_guid process_id process_name process_path signature signature_id user_id vendor_product 
| `security_content_ctime(firstTime)` 
| `security_content_ctime(lastTime)` 
| `create_remote_thread_in_shell_application_filter`"
Credential Dumping via Copy Command from Shadow Copy,"The following analytic detects the use of the copy command to dump credentials from a shadow copy. It leverages Endpoint Detection and Response (EDR) data to identify processes with command lines referencing critical files like &quot;sam&quot;, &quot;security&quot;, &quot;system&quot;, and &quot;ntds.dit&quot; in system directories. This activity is significant as it indicates an attempt to extract credentials, a common technique for unauthorized access and privilege escalation.",Windows Events,"Execution, Credential Access, Privilege Escalation",T1003.003,"| tstats `security_content_summariesonly` count min(_time) as firstTime max(_time) as lastTime from datamodel=Endpoint.Processes where `process_cmd` (Processes.process=*\\system32\\config\\sam* OR Processes.process=*\\system32\\config\\security* OR Processes.process=*\\system32\\config\\system* OR Processes.process=*\\windows\\ntds\\ntds.dit*) by Processes.action Processes.dest Processes.original_file_name Processes.parent_process Processes.parent_process_exec Processes.parent_process_guid Processes.parent_process_id Processes.parent_process_name Processes.parent_process_path Processes.process Processes.process_exec Processes.process_guid Processes.process_hash Processes.process_id Processes.process_integrity_level Processes.process_name Processes.process_path Processes.user Processes.user_id Processes.vendor_product 
| `drop_dm_object_name(Processes)` 
| `security_content_ctime(firstTime)`
| `security_content_ctime(lastTime)` 
| `credential_dumping_via_copy_command_from_shadow_copy_filter`"
Credential Dumping via Symlink to Shadow Copy,"The following analytic detects the creation of a symlink to a shadow copy, which may indicate credential dumping attempts. It leverages the Endpoint.Processes data model in Splunk to identify processes executing commands containing &quot;mklink&quot; and &quot;HarddiskVolumeShadowCopy&quot;. This activity is significant because attackers often use this technique to manipulate or delete shadow copies, hindering system backup and recovery efforts.",Windows Events,"Execution, Credential Access",T1003.003,"| tstats `security_content_summariesonly` count min(_time) as firstTime max(_time) as lastTime from datamodel=Endpoint.Processes where `process_cmd` Processes.process=*mklink* Processes.process=*HarddiskVolumeShadowCopy* by Processes.action Processes.dest Processes.original_file_name Processes.parent_process Processes.parent_process_exec Processes.parent_process_guid Processes.parent_process_id Processes.parent_process_name Processes.parent_process_path Processes.process Processes.process_exec Processes.process_guid Processes.process_hash Processes.process_id Processes.process_integrity_level Processes.process_name Processes.process_path Processes.user Processes.user_id Processes.vendor_product 
| `drop_dm_object_name(Processes)` 
| `security_content_ctime(firstTime)`
| `security_content_ctime(lastTime)` 
| `credential_dumping_via_symlink_to_shadow_copy_filter`"
Crowdstrike Admin Weak Password Policy,"The following analytic detects CrowdStrike alerts for admin weak password policy violations, identifying instances where administrative passwords do not meet security standards. These alerts highlight significant vulnerabilities that could be exploited by attackers to gain unauthorized access. Promptly addressing these alerts is crucial for maintaining robust security and protecting critical systems and data from potential threats.",CrowdStrike EDR,Credential Access,T1110,"`crowdstrike_identities` primaryDisplayName = ""*admin*"" 
| rename riskFactors{}.severity as severity, riskFactors{}.type as risk_type, roles{}.type as role_type, accounts{}.domain as domain, accounts{}.dn as dn, accounts{}.samAccountName as user 
| stats count min(_time) as firstTime max(_time) as lastTime by  domain dn primaryDisplayName risk_type severity riskScore riskScoreSeverity user role_type 
| where risk_type = ""WEAK_PASSWORD_POLICY"" 
| `security_content_ctime(firstTime)` 
| `security_content_ctime(lastTime)` 
| `crowdstrike_admin_weak_password_policy_filter`"
Crowdstrike Admin With Duplicate Password,"The following analytic detects CrowdStrike alerts for admin accounts with duplicate password risk, identifying instances where administrative users share the same password. This practice significantly increases the risk of unauthorized access and potential breaches. Addressing these alerts promptly is crucial for maintaining strong security protocols, ensuring each admin account uses a unique, secure password to protect critical systems and data.",CrowdStrike EDR,Credential Access,T1110,"`crowdstrike_identities` primaryDisplayName = ""*admin*"" 
| rename riskFactors{}.severity as severity, riskFactors{}.type as risk_type, roles{}.type as role_type, accounts{}.domain as domain, accounts{}.dn as dn, accounts{}.samAccountName as user 
| stats count min(_time) as firstTime max(_time) as lastTime by  domain dn primaryDisplayName risk_type severity riskScore riskScoreSeverity user role_type 
| where risk_type = ""DUPLICATE_PASSWORD"" 
| `security_content_ctime(firstTime)` 
| `security_content_ctime(lastTime)` 
| `crowdstrike_admin_with_duplicate_password_filter`"
Crowdstrike High Identity Risk Severity,"The following analytic detects CrowdStrike alerts for High Identity Risk Severity with a risk score of 70 or higher. These alerts indicate significant vulnerabilities in user identities, such as suspicious behavior or compromised credentials. Promptly investigating and addressing these alerts is crucial to prevent potential security breaches and ensure the integrity and protection of sensitive information and systems.",CrowdStrike EDR,Credential Access,T1110,"`crowdstrike_identities` riskScoreSeverity=""HIGH"" OR riskScore >= 0.70 
| rename riskFactors{}.severity as severity, riskFactors{}.type as risk_type, roles{}.type as role_type, accounts{}.domain as domain, accounts{}.dn as dn, accounts{}.samAccountName as user 
| stats count min(_time) as firstTime max(_time) as lastTime by  domain dn primaryDisplayName risk_type severity riskScore riskScoreSeverity user role_type 
| `security_content_ctime(firstTime)` 
| `security_content_ctime(lastTime)` 
| `crowdstrike_high_identity_risk_severity_filter`"
Crowdstrike Medium Identity Risk Severity,"The following analytic detects CrowdStrike alerts for Medium Identity Risk Severity with a risk score of 55 or higher. These alerts indicate significant vulnerabilities in user identities, such as suspicious behavior or compromised credentials. Promptly investigating and addressing these alerts is crucial to prevent potential security breaches and ensure the integrity and protection of sensitive information and systems.",CrowdStrike EDR,Credential Access,T1110,"`crowdstrike_identities` riskScoreSeverity = ""MEDIUM"" OR riskScore >= 0.55 AND riskScore < 0.70 
| rename riskFactors{}.severity as severity, riskFactors{}.type as risk_type, roles{}.type as role_type, accounts{}.domain as domain, accounts{}.dn as dn, accounts{}.samAccountName as user 
| stats count min(_time) as firstTime max(_time) as lastTime by  domain dn primaryDisplayName risk_type severity riskScore riskScoreSeverity user role_type 
| `security_content_ctime(firstTime)` 
| `security_content_ctime(lastTime)` 
| `crowdstrike_medium_identity_risk_severity_filter`"
Crowdstrike Medium Severity Alert,"The following analytic detects a CrowdStrike alert with MEDIUM severity indicates a potential threat that requires prompt attention. This alert level suggests suspicious activity that may compromise security but is not immediately critical. It typically involves detectable but non-imminent risks, such as unusual behavior or attempted policy violations, which should be investigated further and mitigated quickly to prevent escalation of attacks.",CrowdStrike EDR,Credential Access,T1110,"`crowdstrike_stream` 
| rename event.EndpointIp as src_ip, event.EndpointName as src_host, event.UserName as user, event.IncidentDescription as description, event.IncidentType as type, event.NumbersOfAlerts as count_alerts, event.SeverityName as severity 
| stats count min(_time) as firstTime max(_time) as lastTime by src_ip, src_host, user, description, type, count_alerts, severity 
| where LIKE (severity, ""%MEDIUM%"") 
| `security_content_ctime(firstTime)` 
| `security_content_ctime(lastTime)` 
| `crowdstrike_medium_severity_alert_filter`"
Crowdstrike Multiple LOW Severity Alerts,"The following analytic detects multiple CrowdStrike LOW severity alerts, indicating a series of minor suspicious activities or policy violations. These alerts are not immediately critical but should be reviewed to prevent potential threats. They often highlight unusual behavior or low-level risks that, if left unchecked, could escalate into more significant security issues. Regular monitoring and analysis of these alerts are essential for maintaining robust security.",CrowdStrike EDR,"Credential Access, Privilege Escalation",T1110,"`crowdstrike_stream` tag=alert event.SeverityName= LOW 
| rename event.EndpointIp as src_ip, event.EndpointName as src_host, event.UserName as user, event.IncidentDescription as description, event.IncidentType as type, event.NumbersOfAlerts as count_alerts, event.SeverityName as severity 
| stats dc(type) as type_count, values(user) as users, values(description) as descriptions, values(type) as types, values(severity) count min(_time) as firstTime max(_time) as lastTime by src_ip src_host 
| where type_count >= 3 
| `security_content_ctime(firstTime)` 
| `security_content_ctime(lastTime)` 
| `crowdstrike_multiple_low_severity_alerts_filter`"
